"Food","Calories per 100g protein"
"apple_pie","https://fitia.app/calories-nutritional-information/apple-pie-F7pphasfvp/?serving=grams-100-g"
"baby_back_ribs","https://fitia.app/calories-nutritional-information/baby-back-ribs-cuisine-co-5036461/?serving=gramos-100-g"
"baklava","https://www.eatthismuch.com/calories/baklava-2048127"
"beef_carpaccio","https://foods.fatsecret.com/calories-nutrition/generic/carpaccio-beef?portionid=7142693&portionamount=100.000"
"beef_tartare","https://foods.fatsecret.com/calories-nutrition/generic/steak-tartare-(raw-ground-beef-and-egg)?portionid=50891&portionamount=100.000"
"beet_salad","https://www.eatthismuch.com/calories/beet-salad-2882426"
"beignets","https://www.caloriefriend.com/en/food/3250-beignet/7"
"bibimbap","https://www.snapcalorie.com/nutrition/bibimbap_nutrition.html"
"bread_pudding","https://www.calorieking.com/gb/en/foods/f/calories-in-puddings-bread-pudding-homemade/6WKyenVcTJSTOFY82Ntq7Q"
